h3,latitude,longitude,fused_score,distance_to_water,in_indigenous_territory,complex_id,complex_size
878b4c308ffffff,-9.66894783526708,-71.82021724178898,0.98,37.587227,1,9.0,94.0
878b4c20bffffff,-9.480763814874916,-71.80550217616013,0.98,43.304035,1,9.0,94.0
878b4c074ffffff,-9.88670779009978,-71.61335089511728,0.98,65.93668,1,7.0,130.0
878b43a72ffffff,-10.054544036951658,-70.04889473731771,0.98,77.99529,0,1.0,103.0
878b48a0effffff,-8.765187973807098,-71.87151933880268,0.98,100.05268,0,13.0,9.0
878b41034ffffff,-10.63029389140999,-70.5343334343042,0.98,125.51928,1,12.0,148.0
878b4ed03ffffff,-9.89918302274952,-70.23867902721445,0.98,53.000553,0,5.0,42.0
878b418b0ffffff,-10.934809604424151,-70.5569018162785,0.98,159.48242,1,6.0,49.0
878b4c0edffffff,-9.759021199196413,-71.58312086893159,0.98,65.10551,1,7.0,130.0
878b487a2ffffff,-8.497492601782477,-71.12197336643504,0.98,35.03353,0,29.0,34.0
878b4c214ffffff,-9.57129894830541,-71.71086298297614,0.98,50.39286,1,9.0,94.0
878b41124ffffff,-10.801572086896236,-70.60769857628102,0.98,144.99387,1,12.0,148.0
878b4c2d2ffffff,-9.373092675005982,-71.67512200444612,0.98,61.722984,0,2.0,65.0
878b41890ffffff,-10.877706472001709,-70.53244202101122,0.98,153.04787,1,6.0,49.0
878b4179bffffff,-10.169722863278622,-70.23827356196317,0.98,79.83734,0,1.0,103.0
878b4c318ffffff,-9.66209563021822,-71.75862302230482,0.98,44.396473,1,9.0,94.0
878b480deffffff,-8.547603718855196,-71.3682253982209,0.98,58.4338,0,44.0,5.0
878b4ab6dffffff,-8.397076112263633,-71.05386583626671,0.98,21.526604,0,29.0,34.0
878b4d586ffffff,-9.309471226272588,-71.87347821599563,0.98,49.08911,1,2.0,65.0
878b4861bffffff,-8.276346554954214,-71.22631185894284,0.98,31.64078,0,8.0,56.0
878b4c05affffff,-9.74565010394662,-71.6024127335536,0.98,62.721542,1,7.0,130.0
878b4c22bffffff,-9.537920453459993,-71.83032008570535,0.98,38.35944,1,9.0,94.0
878b4c373ffffff,-9.652262475909255,-71.87999571007207,0.98,30.85919,1,9.0,94.0
878b4c0e0ffffff,-9.79911679803829,-71.52525209853914,0.98,72.33398,1,7.0,130.0
878b4cab4ffffff,-9.957741322195712,-71.76134494340468,0.98,55.347847,1,7.0,130.0
