rank,site_id,latitude,longitude,fused_score,water_distance_km,water_category,water_severity,in_territory,has_imagery
1,878b418b0fff...,-10.934809604424151,-70.5569018162785,0.98,159.48242,Extreme Anomaly,1.0,True,True
2,878b41884fff...,-10.908467694519423,-70.59541060020958,0.98,156.77504,Extreme Anomaly,1.0,True,True
3,878b41894fff...,-10.90112944877604,-70.53417755748802,0.98,155.6589,Extreme Anomaly,1.0,True,True
4,878b41885fff...,-10.895291791005416,-70.61466702737987,0.98,155.4555,Extreme Anomaly,1.0,True,True
5,878b41890fff...,-10.877706472001709,-70.53244202101122,0.98,153.04787,Extreme Anomaly,1.0,True,True
6,878b41881fff...,-10.871861741810932,-70.61292449446323,0.98,152.84007,Extreme Anomaly,1.0,True,True
7,878b41892fff...,-10.867453221861773,-70.51146222165299,0.98,151.87427,Extreme Anomaly,1.0,True,True
8,878b4189cfff...,-10.851360753765157,-70.57093842476353,0.98,150.27043,Extreme Anomaly,1.0,True,True
9,878b4188afff...,-10.82500188185576,-70.60944026897813,0.98,147.60925,Extreme Anomaly,1.0,True,True
10,878b41c40fff...,-10.813279406252027,-70.44682435223999,0.98,145.97467,Extreme Anomaly,1.0,True,True
11,878b41c1afff...,-10.838032400719538,-70.26693133346892,0.98,145.8866,Extreme Anomaly,1.0,True,True
12,878b41124fff...,-10.801572086896236,-70.60769857628102,0.98,144.99387,Extreme Anomaly,1.0,True,True
13,878b41130fff...,-10.77083730074161,-70.54474375003348,0.98,141.1926,Extreme Anomaly,1.0,True,True
14,878b41104fff...,-10.74447125829006,-70.58323001041701,0.98,138.4694,Extreme Anomaly,1.0,True,True
15,878b41105fff...,-10.73128333689262,-70.60247517760014,0.98,137.1478,Extreme Anomaly,1.0,True,True
16,878b41034fff...,-10.63029389140999,-70.5343334343042,0.98,125.51928,Extreme Anomaly,1.0,True,True
17,878b41025fff...,-10.624368836338531,-70.61475465335644,0.98,125.39225,Extreme Anomaly,1.0,True,True
18,878b41022fff...,-10.603907472713312,-70.57280040696139,0.98,122.77963,Extreme Anomaly,1.0,True,True
19,878b41004fff...,-10.580480715878313,-70.57106311706276,0.98,120.16476,Extreme Anomaly,1.0,True,True
20,878b41569fff...,-10.571844312161913,-70.368477798902,0.98,119.9028,Extreme Anomaly,1.0,True,True
21,878b43970fff...,-10.575986323835044,-69.82522747659185,0.98,106.21931,Extreme Anomaly,1.0,False,True
22,878b43825fff...,-10.521897278252528,-69.76112886727121,0.98,102.74588,Extreme Anomaly,1.0,False,True
23,878b43820fff...,-10.511654786175033,-69.7403299458508,0.98,101.348656,Extreme Anomaly,1.0,False,True
24,878b48a0afff...,-8.741676979288943,-71.86967966449285,0.98,100.88915,Extreme Anomaly,1.0,False,True
25,878b43908fff...,-10.568603706492317,-69.76446151695968,0.98,100.54366,Extreme Anomaly,1.0,False,True
26,878b48a0efff...,-8.765187973807098,-71.87151933880268,0.98,100.05268,Extreme Anomaly,1.0,False,True
27,878b4390cfff...,-10.5919572214056,-69.76612824411873,0.98,99.526726,Severe Anomaly,0.8,False,True
28,878b48a08fff...,-8.751724678726408,-71.89078011954545,0.98,98.33352,Severe Anomaly,0.8,False,True
29,878b43918fff...,-10.561213265932889,-69.70372964996064,0.98,95.02153,Severe Anomaly,0.8,False,True
30,878b417a6fff...,-10.320314262732913,-70.26940413764744,0.98,94.607346,Severe Anomaly,0.8,False,True
31,878b417a2fff...,-10.296915368148024,-70.26769485637418,0.98,92.15958,Severe Anomaly,0.8,False,True
32,878b417a8fff...,-10.257341611791476,-70.32524632194831,0.98,86.25381,Severe Anomaly,0.8,False,True
33,878b4c014fff...,-9.923028866226906,-71.45353929569967,0.98,83.96243,Severe Anomaly,0.8,True,True
34,878b43a29fff...,-10.101298938646412,-70.05227278325481,0.98,83.19473,Severe Anomaly,0.8,False,True
35,878b43b5dfff...,-10.131901419110248,-70.11479741598644,0.98,82.25541,Severe Anomaly,0.8,False,True
36,878b4802bfff...,-8.738668881415334,-71.48407611070525,0.98,81.9631,Severe Anomaly,0.8,False,True
37,878b43a2bfff...,-10.091099029988673,-70.03144110956977,0.98,81.74332,Severe Anomaly,0.8,False,True
38,878b4802afff...,-8.752092383448149,-71.4648564768804,0.98,81.45317,Severe Anomaly,0.8,False,True
39,878b4179bfff...,-10.169722863278622,-70.23827356196317,0.98,79.83734,Severe Anomaly,0.8,False,True
40,878b4c026fff...,-9.976994762688395,-71.51867115722446,0.98,79.71793,Severe Anomaly,0.8,True,True
41,878b48054fff...,-8.678283388974888,-71.49968181920957,0.98,78.895996,Severe Anomaly,0.8,False,True
42,878b43a72fff...,-10.054544036951658,-70.04889473731771,0.98,77.99529,Severe Anomaly,0.8,False,True
43,878b48008fff...,-8.705138043756838,-71.46124774183683,0.98,77.56705,Severe Anomaly,0.8,False,True
44,878b43a71fff...,-10.051556315581808,-70.08887303885827,0.98,76.49651,Severe Anomaly,0.8,False,True
45,878b48911fff...,-9.299078330159569,-71.56784428565201,0.98,76.18711,Severe Anomaly,0.8,True,True
46,878b4c00efff...,-9.869626781022454,-71.53070072736753,0.98,73.871376,Severe Anomaly,0.8,True,True
47,878b4c0c0fff...,-9.741974102099638,-71.50052356492483,0.98,73.85594,Severe Anomaly,0.8,True,True
48,878b416a1fff...,-10.130129044491303,-70.29579192787392,0.98,73.504944,Severe Anomaly,0.8,False,True
49,878b4c0e0fff...,-9.79911679803829,-71.52525209853914,0.98,72.33398,Severe Anomaly,0.8,True,True
50,878b41603fff...,-10.134302480686932,-70.39684142845707,0.98,71.24373,Severe Anomaly,0.8,False,True
